constantId,packageIn,methodIn,methodRefClass,methodRef,codeUnit,varName,varClass,varRefClass
2131165264,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,pl.com.andrzejgrzyb.shoppinglist.MainActivity,setTitle,virtualinvoke $r0.<pl.com.andrzejgrzyb.shoppinglist.MainActivity: void setTitle(int)>(2131165264),,,
2130968603,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,pl.com.andrzejgrzyb.shoppinglist.MainActivity,setContentView,virtualinvoke $r0.<pl.com.andrzejgrzyb.shoppinglist.MainActivity: void setContentView(int)>(2130968603),,,
2131689605,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,pl.com.andrzejgrzyb.shoppinglist.MainActivity,findViewById,$r3 = virtualinvoke $r0.<pl.com.andrzejgrzyb.shoppinglist.MainActivity: android.view.View findViewById(int)>(2131689605),,,
2131689606,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,pl.com.andrzejgrzyb.shoppinglist.MainActivity,findViewById,$r3 = virtualinvoke $r0.<pl.com.andrzejgrzyb.shoppinglist.MainActivity: android.view.View findViewById(int)>(2131689606),,,
2131689604,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,pl.com.andrzejgrzyb.shoppinglist.MainActivity,findViewById,$r3 = virtualinvoke $r0.<pl.com.andrzejgrzyb.shoppinglist.MainActivity: android.view.View findViewById(int)>(2131689604),,,
2131165235,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,android.support.v7.app.ActionBarDrawerToggle,<init>,specialinvoke $r8.<android.support.v7.app.ActionBarDrawerToggle: void <init>(android.app.Activity,android.support.v4.widget.DrawerLayout,android.support.v7.widget.Toolbar,int,int)>($r0, $r7, $r4, 2131165235, 2131165234),,,
2131165234,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,android.support.v7.app.ActionBarDrawerToggle,<init>,specialinvoke $r8.<android.support.v7.app.ActionBarDrawerToggle: void <init>(android.app.Activity,android.support.v4.widget.DrawerLayout,android.support.v7.widget.Toolbar,int,int)>($r0, $r7, $r4, 2131165235, 2131165234),,,
2131689607,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,pl.com.andrzejgrzyb.shoppinglist.MainActivity,findViewById,$r3 = virtualinvoke $r0.<pl.com.andrzejgrzyb.shoppinglist.MainActivity: android.view.View findViewById(int)>(2131689607),mNavigationView,android.support.design.widget.NavigationView,pl.com.andrzejgrzyb.shoppinglist.MainActivity
2131689611,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,pl.com.andrzejgrzyb.shoppinglist.MainActivity,findViewById,$r3 = virtualinvoke $r0.<pl.com.andrzejgrzyb.shoppinglist.MainActivity: android.view.View findViewById(int)>(2131689611),shoppingListsListView,android.widget.ListView,pl.com.andrzejgrzyb.shoppinglist.MainActivity
2130968621,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,android.support.v4.widget.SimpleCursorAdapter,<init>,specialinvoke $r14.<android.support.v4.widget.SimpleCursorAdapter: void <init>(android.content.Context,int,android.database.Cursor,java.lang.String[],int[],int)>($r0, 2130968621, $r13, $r15, $r16, 0),,,
0,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,android.support.v4.widget.SimpleCursorAdapter,<init>,specialinvoke $r14.<android.support.v4.widget.SimpleCursorAdapter: void <init>(android.content.Context,int,android.database.Cursor,java.lang.String[],int[],int)>($r0, 2130968621, $r13, $r15, $r16, 0),,,
2131689612,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreate,pl.com.andrzejgrzyb.shoppinglist.MainActivity,findViewById,$r3 = virtualinvoke $r0.<pl.com.andrzejgrzyb.shoppinglist.MainActivity: android.view.View findViewById(int)>(2131689612),,,
0,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onContextItemSelected,android.widget.Toast,makeText,staticinvoke <android.widget.Toast: android.widget.Toast makeText(android.content.Context,java.lang.CharSequence,int)>($r0, "WTF?!", 0),,,
2131755010,pl.com.andrzejgrzyb.shoppinglist.MainActivity,onCreateOptionsMenu,android.view.MenuInflater,inflate,virtualinvoke $r3.<android.view.MenuInflater: void inflate(int,android.view.Menu)>(2131755010, $r1),,,
